,Sex,LSM (mm),Diameter (mm),Height (mm),Weight_of_Abalone (grams),Weight_Of_Meat (mm),Gut_Weight_After_Bleeding (grams),Shell_Weight (grams),Rings
3529,1,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054000000000000006,6.0
3215,0,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11.0
1155,0,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8.0
3082,0,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11.0
3342,2,0.43,0.33,0.095,0.34,0.1315,0.085,0.11199999999999999,14.0
624,1,0.465,0.36,0.105,0.498,0.214,0.11599999999999999,0.14,15.0
2334,0,0.8,0.63,0.195,2.526,0.9329999999999999,0.59,0.62,23.0
2797,2,0.64,0.505,0.155,1.1955,0.5565,0.21100000000000002,0.34600000000000003,11.0
1677,2,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9.0
561,1,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13.0
6,0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20.0
3898,0,0.565,0.46,0.15,0.8765,0.3455,0.1925,0.275,10.0
1174,0,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9.0
3728,1,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10.0
949,2,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6.0
1578,1,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8.0
470,0,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9.0
676,2,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12.0
3601,1,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8.0
384,2,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10.0
3849,2,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6.0
1017,0,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11.0
1619,1,0.56,0.445,0.15,0.8225,0.3685,0.187,0.23600000000000002,10.0
1477,2,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8.0
530,1,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20.0
2271,0,0.52,0.41,0.17,0.8705,0.3735,0.21899999999999997,0.25,14.0
2689,2,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9.0
2228,0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12.0
94,2,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15.0
2200,0,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13.0
1226,1,0.35,0.27,0.075,0.215,0.1,0.036000000000000004,0.065,6.0
851,2,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9.0
3590,0,0.65,0.52,0.195,1.6275,0.6890000000000001,0.3905,0.43200000000000005,11.0
3997,1,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,6.0
3188,2,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16.0
420,0,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14.0
1662,0,0.605,0.455,0.145,0.9775,0.46799999999999997,0.1775,0.275,9.0
2587,0,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9.0
1827,1,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6.0
2603,0,0.62,0.51,0.175,1.2705,0.5415,0.32299999999999995,0.3225,9.0
83,2,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58,21.0
532,1,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12.0
773,2,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9.0
1871,1,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9.0
2520,2,0.525,0.425,0.19,0.872,0.4625,0.1725,0.19899999999999998,9.0
4114,0,0.57,0.45,0.15,0.9645,0.531,0.18899999999999997,0.209,9.0
3131,2,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815,11.0
886,0,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12.0
1763,2,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12.0
2561,1,0.44,0.345,0.115,0.545,0.26899999999999996,0.111,0.1305,6.0
4106,0,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11.0
4132,1,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10.0
1440,1,0.405,0.29,0.09,0.2825,0.11199999999999999,0.075,0.0815,7.0
25,0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11.0
3825,2,0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11.0
797,2,0.44,0.335,0.11,0.39399999999999996,0.157,0.096,0.122,9.0
3260,0,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13.0
2286,0,0.5,0.395,0.15,0.7145,0.3235,0.17300000000000001,0.195,9.0
557,0,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12.0
3294,0,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14.0
3841,2,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11.0
1549,1,0.385,0.28,0.095,0.257,0.11900000000000001,0.059000000000000004,0.07,7.0
3656,1,0.53,0.395,0.125,0.6235,0.2975,0.10800000000000001,0.195,11.0
316,0,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39,14.0
483,0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19.0
764,0,0.61,0.47,0.145,1.153,0.40299999999999997,0.29600000000000004,0.32,14.0
1790,0,0.55,0.38,0.165,1.205,0.5429999999999999,0.294,0.3345,10.0
19,2,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9.0
1506,0,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9.0
108,0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9.0
3324,1,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12.0
4008,2,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12.0
3353,1,0.475,0.365,0.14,0.4545,0.171,0.11800000000000001,0.158,8.0
3664,1,0.555,0.43,0.15,0.7829999999999999,0.345,0.1755,0.247,9.0
1229,1,0.365,0.27,0.085,0.1875,0.081,0.042,0.057999999999999996,6.0
3657,2,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7.0
962,1,0.505,0.39,0.15,0.685,0.36200000000000004,0.131,0.156,8.0
3780,2,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10.0
3724,0,0.485,0.365,0.15,0.9145,0.4145,0.19899999999999998,0.273,7.0
1952,1,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10.0
1856,1,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,11.0
2726,1,0.4,0.305,0.1,0.3415,0.17600000000000002,0.0625,0.0865,7.0
2676,0,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10.0
1562,1,0.45,0.335,0.11,0.4195,0.18100000000000002,0.085,0.1345,7.0
1357,2,0.6,0.46,0.155,0.9595,0.4455,0.18899999999999997,0.295,11.0
3302,0,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15.0
755,2,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13.0
3251,1,0.455,0.375,0.125,0.5329999999999999,0.233,0.106,0.185,8.0
803,1,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7.0
2395,1,0.61,0.475,0.17,1.0385,0.4435,0.24100000000000002,0.32,14.0
3107,1,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5.0
4171,2,0.56,0.43,0.155,0.8675,0.4,0.172,0.22899999999999998,8.0
2748,1,0.505,0.385,0.125,0.596,0.245,0.09699999999999999,0.21,9.0
2308,2,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11.0
889,0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11.0
568,2,0.28,0.21,0.08,0.1085,0.040999999999999995,0.0265,0.0345,7.0
2681,2,0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9.0
3605,1,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8.0
2826,2,0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,9.0
1589,1,0.52,0.41,0.145,0.6459999999999999,0.2965,0.1595,0.165,9.0
1972,2,0.68,0.54,0.19,1.6230000000000002,0.7165,0.354,0.4715,12.0
1358,1,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11.0
1032,2,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11.0
3011,1,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8.0
1924,0,0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265,8.0
3090,2,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10.0
3481,1,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6.0
164,0,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,16.0
2804,0,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,9.0
3013,1,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8.0
221,0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11.0
3287,2,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12.0
300,0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9.0
3268,2,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,11.0
959,2,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7.0
1459,1,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6.0
3480,1,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8.0
2720,1,0.37,0.275,0.09,0.2065,0.096,0.0395,0.057999999999999996,7.0
3438,1,0.43,0.335,0.105,0.37799999999999995,0.188,0.0785,0.09,6.0
1919,1,0.605,0.49,0.165,1.071,0.48200000000000004,0.1935,0.35200000000000004,10.0
2386,0,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14.0
682,0,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7.0
1616,1,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,9.0
2739,1,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7.0
1151,2,0.585,0.465,0.16,0.9555,0.4595,0.23600000000000002,0.265,7.0
2655,2,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7.0
670,2,0.475,0.385,0.145,0.6175,0.235,0.10800000000000001,0.215,14.0
2031,0,0.6,0.45,0.14,0.8370000000000001,0.37,0.177,0.2425,10.0
905,1,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5.0
2311,2,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7.0
2922,2,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11.0
1604,2,0.54,0.455,0.14,0.972,0.419,0.255,0.26899999999999996,10.0
2539,0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13.0
599,0,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16.0
434,1,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13.0
1093,2,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7.0
1592,1,0.525,0.39,0.12,0.664,0.3115,0.147,0.17800000000000002,9.0
2095,2,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7.0
2039,1,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027000000000000003,6.0
3736,2,0.625,0.48,0.18,1.2229999999999999,0.565,0.2975,0.3375,10.0
1934,2,0.62,0.47,0.15,1.3090000000000002,0.5870000000000001,0.4405,0.325,9.0
609,2,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12.0
3807,0,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8.0
1505,2,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8.0
2159,0,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12.0
1503,0,0.63,0.49,0.225,1.3359999999999999,0.6805,0.259,0.3245,10.0
631,0,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7.0
40,0,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9.0
28,2,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,15.0
2891,1,0.53,0.38,0.125,0.616,0.292,0.113,0.185,8.0
4137,2,0.63,0.505,0.155,1.105,0.49200000000000005,0.226,0.325,11.0
2738,2,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8.0
386,2,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12.0
2847,2,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,8.0
1323,1,0.56,0.455,0.145,0.9740000000000001,0.547,0.1615,0.235,9.0
3459,2,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8.0
3557,1,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8.0
3990,2,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,10.0
941,1,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7.0
415,0,0.62,0.47,0.14,1.0325,0.3605,0.22399999999999998,0.36,15.0
3602,1,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5.0
373,0,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14.0
3454,0,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8.0
1872,1,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9.0
1235,1,0.375,0.29,0.085,0.2385,0.11800000000000001,0.045,0.0695,7.0
606,2,0.345,0.27,0.09,0.195,0.078,0.0455,0.059000000000000004,9.0
1854,1,0.495,0.375,0.14,0.494,0.18100000000000002,0.0975,0.191,8.0
2464,0,0.52,0.405,0.14,0.6915,0.276,0.13699999999999998,0.215,11.0
3240,2,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15.0
1896,2,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.28300000000000003,9.0
2582,2,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835,6.0
526,2,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3.0
1823,2,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11.0
3652,0,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10.0
1652,2,0.595,0.45,0.14,0.838,0.3965,0.19399999999999998,0.217,10.0
2243,2,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10.0
2291,2,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10.0
1398,2,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11.0
2186,0,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9.0
2688,2,0.63,0.465,0.15,1.0270000000000001,0.537,0.188,0.17600000000000002,8.0
3337,1,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15.0
1453,1,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6.0
3761,2,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10.0
3129,0,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,10.0
1635,1,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9.0
2931,0,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9.0
2015,1,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8.0
4141,0,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11.0
1663,2,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8.0
3808,2,0.515,0.385,0.13,0.623,0.2855,0.1285,0.175,10.0
3752,1,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8.0
1480,0,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9.0
2466,2,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9.0
1817,0,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,9.0
2764,1,0.55,0.465,0.15,0.9359999999999999,0.48100000000000004,0.174,0.2435,9.0
2659,0,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8.0
2945,0,0.635,0.485,0.19,1.3765,0.634,0.2885,0.406,11.0
2140,0,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10.0
1306,1,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.22899999999999998,9.0
2563,1,0.44,0.355,0.12,0.495,0.231,0.11,0.125,7.0
1954,0,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11.0
2756,1,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8.0
2908,0,0.58,0.45,0.17,0.9705,0.4615,0.23199999999999998,0.248,9.0
2505,1,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6.0
652,1,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11.0
2952,0,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,12.0
2801,2,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10.0
450,2,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16.0
1145,2,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9.0
979,2,0.535,0.435,0.14,0.8740000000000001,0.3735,0.22899999999999998,0.2195,8.0
806,1,0.28,0.205,0.07,0.1015,0.040999999999999995,0.03,0.03,6.0
3096,0,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9.0
2930,0,0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,11.0
4068,1,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7.0
3289,2,0.535,0.42,0.16,0.72,0.275,0.16399999999999998,0.225,15.0
2805,0,0.66,0.525,0.2,1.463,0.6525,0.2995,0.42200000000000004,11.0
2645,2,0.49,0.38,0.11,0.5539999999999999,0.2935,0.1005,0.15,8.0
2493,1,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8.0
2065,0,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035,8.0
3365,1,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12,11.0
3892,0,0.5,0.4,0.15,0.8085,0.273,0.11199999999999999,0.295,13.0
653,2,0.31,0.225,0.08,0.1345,0.054000000000000006,0.024,0.05,7.0
2746,1,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8.0
282,0,0.455,0.355,0.12,0.4495,0.177,0.10400000000000001,0.15,9.0
2928,2,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11.0
2300,0,0.48,0.405,0.13,0.6375,0.27699999999999997,0.1445,0.21,10.0
710,1,0.325,0.25,0.08,0.17600000000000002,0.0595,0.0355,0.063,7.0
165,2,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14.0
1530,2,0.75,0.55,0.18,1.893,0.9420000000000001,0.397,0.445,11.0
2399,0,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17.0
3086,1,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7.0
1599,1,0.53,0.42,0.13,0.8365,0.3745,0.16699999999999998,0.249,11.0
2578,2,0.515,0.395,0.12,0.6459999999999999,0.285,0.1365,0.172,9.0
2851,0,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,12.0
3742,0,0.695,0.525,0.205,1.8185,0.8190000000000001,0.4025,0.4525,13.0
16,1,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7.0
1525,2,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,11.0
2602,2,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8.0
8,2,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9.0
4063,0,0.63,0.515,0.16,1.3359999999999999,0.5529999999999999,0.3205,0.35,11.0
9,0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19.0
2609,0,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11.0
2692,2,0.65,0.515,0.125,1.1805,0.5235,0.28300000000000003,0.3275,9.0
1933,2,0.62,0.495,0.195,1.5145,0.579,0.34600000000000003,0.5195,15.0
3304,0,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16.0
1307,1,0.545,0.435,0.135,0.7715,0.37200000000000005,0.14800000000000002,0.22699999999999998,8.0
856,2,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9.0
366,2,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11.0
2091,0,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8.0
2741,1,0.46,0.35,0.1,0.47100000000000003,0.252,0.077,0.12300000000000001,8.0
1629,1,0.57,0.43,0.145,0.833,0.354,0.14400000000000002,0.2815,10.0
2881,1,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8.0
2303,0,0.58,0.455,0.12,0.94,0.39899999999999997,0.257,0.265,11.0
2448,0,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7.0
595,1,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13.0
2974,2,0.745,0.575,0.2,1.8840000000000001,0.9540000000000001,0.336,0.495,12.0
3571,0,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9.0
3620,0,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9.0
58,1,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025,4.0
1191,2,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10.0
116,0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11.0
657,0,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16.0
505,2,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15.0
589,0,0.405,0.31,0.12,0.3095,0.138,0.057999999999999996,0.095,13.0
2846,2,0.625,0.475,0.175,1.3405,0.6559999999999999,0.28300000000000003,0.337,10.0
2116,1,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6.0
104,2,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12.0
2972,2,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13.0
133,1,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,7.0
1319,1,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9.0
3503,0,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11.0
550,1,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17.0
645,1,0.445,0.33,0.12,0.34700000000000003,0.12,0.084,0.105,11.0
853,2,0.57,0.455,0.15,0.9520000000000001,0.3895,0.2155,0.2745,9.0
90,2,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15.0
1723,0,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12.0
1514,0,0.655,0.54,0.215,1.5555,0.695,0.29600000000000004,0.444,11.0
838,0,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8.0
3283,0,0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11.0
237,1,0.13,0.1,0.03,0.013000000000000001,0.0045,0.003,0.004,3.0
1540,1,0.36,0.27,0.095,0.2,0.073,0.055999999999999994,0.061,8.0
3178,2,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8.0
2167,0,0.37,0.275,0.085,0.2405,0.10400000000000001,0.0535,0.07,5.0
1591,2,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8.0
3669,1,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9.0
2358,0,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20.0
1325,0,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8.0
3105,1,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5.0
3545,1,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8.0
1829,1,0.365,0.27,0.085,0.19699999999999998,0.0815,0.0325,0.065,6.0
475,2,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17.0
2198,1,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6.0
2860,0,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10.0
2540,0,0.675,0.55,0.175,1.689,0.6940000000000001,0.371,0.474,13.0
699,0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16.0
705,2,0.415,0.325,0.14,0.41700000000000004,0.1535,0.1015,0.14400000000000002,10.0
190,2,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13.0
481,2,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17.0
1932,0,0.62,0.495,0.17,1.062,0.37200000000000005,0.213,0.34,11.0
1884,2,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7.0
3205,2,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9.0
560,0,0.44,0.34,0.105,0.364,0.14800000000000002,0.0805,0.1175,8.0
2000,1,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9.0
1463,2,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9.0
3151,0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21.0
2253,0,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11.0
3976,1,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7.0
4128,2,0.555,0.435,0.145,0.9205,0.40399999999999997,0.2275,0.255,8.0
770,0,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11.0
3101,2,0.595,0.455,0.145,0.9420000000000001,0.43,0.182,0.27699999999999997,11.0
3707,2,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11.0
1595,2,0.525,0.4,0.155,0.7070000000000001,0.282,0.1605,0.225,9.0
1537,1,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5.0
751,2,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10.0
897,1,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6.0
2737,1,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9.0
1683,0,0.62,0.48,0.18,1.2215,0.5820000000000001,0.2695,0.313,12.0
2630,1,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,6.0
3125,2,0.585,0.46,0.15,1.206,0.581,0.21600000000000003,0.32299999999999995,10.0
2315,2,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17.0
2332,0,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9.0
416,0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20.0
3693,2,0.65,0.495,0.17,1.276,0.6215,0.2305,0.39899999999999997,11.0
3931,1,0.55,0.44,0.165,0.8605,0.312,0.16899999999999998,0.3,17.0
864,2,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11.0
1108,1,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8.0
195,2,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,12.0
2969,2,0.685,0.505,0.19,1.5330000000000001,0.667,0.4055,0.41,10.0
706,2,0.315,0.25,0.09,0.203,0.0615,0.037000000000000005,0.0795,11.0
1060,1,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7.0
3449,2,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7.0
1374,2,0.615,0.48,0.175,1.1179999999999999,0.446,0.3195,0.3,9.0
404,1,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7.0
3343,0,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13.0
1415,0,0.695,0.565,0.19,1.7635,0.7465,0.39899999999999997,0.4975,11.0
1339,0,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8.0
1105,0,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6.0
2088,0,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12.0
3323,0,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12.0
1301,1,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9.0
1352,2,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10.0
807,0,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15.0
2935,2,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10.0
